filename,caption,paraphrased,negation
000000302882.jpg,A person takes a black and white selfie with a phone.,A black and white selfie is being taken by a person with a phone.,A person takes a selfie with a black and white phone.
000000347254.jpg,Bearded person in a suit about to enjoy an adult beverage,A person with a beard and wearing a suit is about to consume an alcoholic beverage.,An adult person in a suit about to enjoy a bearded beverage.
000000139872.jpg,a black and white dog laying in the grass with a frisbee,The frisbee is lying in the grass with a black and white dog.,a dog laying in the grass with a black and white frisbee
000000551439.jpg,a pretty person with a red book smiling on a white bed,"A person with a red book is sitting on a white bed, smiling.",a red person with a pretty book smiling on a white bed.
000000207585.jpg,Three teddy bears and a stuffed cat on a stone wall.,On a stone wall three teddy bears and a stuffed cat are positioned.,A stuffed teddy bear and three cats on a stone wall.
000000555972.jpg,Two pink flowers in oddly shaped wood vase.,The two pink flowers are placed in an oddly shaped wood vase.,Two oddly shaped flowers in a pink wood vase.
000000331569.jpg,A fruit smoothie is on display on a plate with two strawberries for garnish.,Two strawberries are used as garnish for the fruit smoothie that is displayed on a plate.,Two smoothies are on display on a plate with a fruit garnish.
000000334371.jpg,A tall building with four double decker buses driving along a parking lot.,A parking lot with a tall building and four double-decker buses driving along it.,Four tall buses driving along a parking lot next to a double decker building.
000000199442.jpg,A person wearing a black wetsuit surfing in the ocean., Surfing in the ocean is a person in a black wetsuit.,A person surfing in a black ocean wearing a wetsuit.
000000457262.jpg,A wooden table with miniature bananas next to a Malaysian coin from 2009.,A table made of wood with small bananas placed near a Malaysian coin from 2009.,A miniature table with wooden bananas next to a Malaysian coin from 2009.
000000564127.jpg,A bathroom with black and white toilet and a tiled floor.,A black and white toilet and a tiled floor are the features of the bathroom.,A bathroom with a tiled toilet and a black and white floor.
000000532129.jpg,A cheese pizza sitting on top of white paper and a large plate.,"A large plate is positioned below of a white paper, with a cheese pizza sitting on top of it.",A white pizza sitting on top of cheese paper and a large plate.
000000468501.jpg,Two people using an interactive gaming system while a person observes them from a couch.,Two individuals are interacting with a gaming system while a third person is observing them from a couch.,A person using an interactive gaming system while two people observe from a couch.
000000188296.jpg,Two football players reach for the ball at the same time.,The ball is reached for by two football players simultaneously.,Same football players reach for the ball at two different times.
000000212072.jpg,A stop sign leans beside street signs and a light post across from buildings., Beside street signs and a light post across from buildings lean a stop sign.,A street sign leans beside stop signs and a light post across from buildings.
000000220858.jpg,A rowboat with paddles and no passengers is on the beach.,The rowboat is on the beach with paddles and no passengers.,A rowboat with paddles and no passengers is in the water.
000000252716.jpg,A blue frisbee sitting on top of a lush green field.,The lush green field is positioned below the blue frisbee.,A green frisbee sitting on top of a lush blue field.
000000572517.jpg,A polar bear and a bird near a small pond.,A small pond is near a bird and a polar bear.,A small bear and a bird near a polar pond.
000000128148.jpg,"A living room with brown, leather furniture and a red wall","The living room has a red wall and brown, leather furniture.","A living room with red, leather furniture and a brown wall."
000000266082.jpg,A fire hydrant waits in front of a tall building.,A tall building stands behind a fire hydrant.,A tall hydrant waits in front of a fire building.
000000060347.jpg,A person sitting on the park bench in the forest,"In the forest, a person is sitting on a park bench.",A person sitting on the forest bench in the park.
000000578922.jpg,A vase of red flowers sits on a bathroom countertop.,On the bathroom countertop lies the vase with red flowers.,A vase of bathroom flowers sits on a red countertop.
000000300233.jpg,A close up of a bowl of uncooked rice and a jar of oil.,A upclose image of a bowl of a jar of oil and uncooked rice.,A close up of a jar of cooked rice and a bowl of oil.
000000173799.jpg,Two people stand in front of a bunch of elephants, A group of elephants is behind two individuals are positioned.,A bunch of people stand in front of two elephants.
000000186449.jpg,A person with a cane and a roller bag sitting on a bench.,Seated on a bench is a person with a cane and a roller bag.,A person with a roller and a cane bag sitting on a bench.
000000198489.jpg,A little child picking up an upside down umbrella by its handle.,An upside umbrella is being picked up by a little child.,An upside down child picking up a little umbrella by its handle.
000000360137.jpg,A person leaning up against a metal rail while holding a rainbow colored umbrella.,A rainbow-colored umbrella is being held by a person who is positioned against a metal rail.,A person leaning up against a rainbow colored rail while holding a metal umbrella.
000000110638.jpg,a small elephant walks underneath a big elephant,"A large elephan is above a small elephant, who walks beneath it.",a big elephant walks underneath a small elephant.
